feedback,status
My ticket opened by chatbot was  closed without doing anything. Can simple automations be included in bot to close small tasks at first level itself.,negative
"Even though my issue was not resolved , my bot session was closed automatically",negative
"Whenever I try to reach helpdesk via Chatbot's phone option, I am not able to connect.",negative
What can I tell you?  Nothing was resolved and I wasn't contacted to be helped out.  I could not contact anyone and the chat bot simply told me my issue was closed as  a result of no one being available.,negative
Only comment is that chatbot live agent support is pretty slow and outdated,negative
many times I am not able to find the Bot contact at all in the skype window.,negative
"Skype chatbot support is nice, my issue was resolved. I have a question though. Do I have an option to use skype chatbot in MS Teams as well?",positive
 I wish this chatbot could send me reminders about my expiring passwords. That would have been so helpful!,positive
I am never able to ping the bot. it always keeps on asking me to retry.,negative
"No ticket was created by chatbot for me it seems, after I connected with the bot.",negative
Can the Bot not fix my Laptop  directly. I do not have time to provide remote of my PC to some technician for long sessions.,negative
I know it was a low level question but still it went unanswered  by the Skype chatbot assistant.,negative
I keep getting the wrong information by chatbot  on what process to use.,negative
Bot do not have sufficient knowledge to answer me,negative
My question went unanswered by the chatbot,negative
Bot was not able to answer my query,negative
Skype Bot was unable to guide me on my issue,negative
It was not expected that the Bot do not have even some knowledge to provide me,negative
Bot is pretty immature in knowledge,negative
This chatbot even do not have basic IT intelligence,negative
Bot is not able to answer even 1 of my multiple questions.,negative
I appreciate your support in general. But Helpdesk Chatbot don't provide the answer I want,negative
This IT chatbot is very helpful to reopen the ticket but unfortunately not help to resolve my PI issue. Can this chatbot support to fix the problem besides reopen the ticket.,negative
"Chatbot, the first level support was not able to help with my question.
There was only a direction to an Email address. ",negative
"Chatbot needs to be fed with more data to be able to solve issues,specially mine. Bot could not understand me.",negative
IT Bot is lacking maturity in its knowledge. Why it is not trained to the level of agents,negative
Chatbot was close to find a solution to my problem. It do not provide complete answers though.,negative
Chatbot got confused and  responded completely opposite to what my ask was. Seems its not trained properly to distinguish between the topics.,negative
Communication with the bot on Skype is more difficult. End result I couldn't resolve my issues. IT needs to test the answers which Bot provides.,negative
"The issue is not solved, the KB provided by bot is general but it's not exactly what I asked for.",negative
"i've searched my very ""basic"" question (how to compare 2 pdf) via Chatbot knowledge base without any valuable hits. ",negative
"Please, whenever there is a crucial need to install certain software, it should be done quickly via chatbot instead of waiting for an agent",positive
How do I call helpdesk via chatbot. I think this feature is missing in chatbot,positive
"There should be a facility to transfer files directly within bot, It takes additional efforts to transfer a file to agents.",positive
So much of typing envolved. Can this bot speak?,positive
Expected this bot to recognize me and my department so that it could help me accordingly,positive
It would have been much better if the bot could have shown us something in video.,positive
Bot looks so simple. It needs to have some graphics for a better experience,positive
Can the Bot not fix my Laptop  directly. I do not have time to provide remote of my PC to some technician for long sessions.,positive
Where are the buttons in chat? It is so weird to type everytime inside the bot!,positive
What the use of a chatbot if it can't fix my login password.,positive
Even though chatbot was nice but could not see an option for increasing my priority level.,positive
Chatbot is good to resolve the issue. Wonder if we are also provided with a copy of  chat  for reference.,positive
The process of actually connecting with a technician within a chat is  time taking. I will suggest to have a once click button or direct immediate option to get connected to the technician.,positive
Can I also reach Skype Bot assistant via my teams account?,positive
"Wonder if Chatbot could also provide me with contact details of a department, I am trying to reach to.",positive
Reading answers in small chat window is difficult. Can bot provide answers via email if specifically asked for.,positive
"I was not able to attach error screenshot in the chatbot. How great it would have been if chatbot was able to take my error screenshot, read it and provide issue resolution right away.",positive
Chatbot looks too simple and oudated. Atleast it should have a capability to reset my password.,positive
The ticket was closed and nothing was done.  I requested access to a folder and I still have no access. Can't this simple automation be included in chatbot to avoid large wait time.,positive
Really like the Skype communications with the Bot as it was minimally disruptive to my job while still being efficient to address my issue. Wished I was able to access it outside network while I am on field job.,positive
Thank you for your Skype chatbot help. But your Skype chatbot call does not work sometimes!,negative
I asked for the local number through bot because the webpages were down. still haven't got any response seems skype bot itself was down.,negative
I had an issue which needed to be addressed immediately. I tried the chatbot option in skype. It offered 4 hour windows for a call back which was unacceptable,negative
I have handled the ticket via chatbot and have waited nearly 10 min for the bot to reply,negative
Received too late response from chatbot,negative
Everything good except the slow Bot response .,negative
Bot did not created my ticket it seems.,negative
Tried bot for the first time but experience was not good. I got the message from bot that something went wrong,negative
Scheduling callback option was not working in bot it seems.,negative
Skype chatbot never responds me.,negative
Nothing worked after I typed 'yes' in chatbot,negative
"automated bot service is terrible, the links provided by the bot never opens",negative
delay of response by bot,negative
"Even though my issue was not resolved , my bot session was closed automatically",negative
In my case the chatbot response time was to long --> shorten response time the resolving is another part,negative
"
The AI chatbot  automatically created several tickets during / after I talked to agent, and still had a query. I wanted to know how long I have to wait for an answer. In addition, the AI ??offered and accepted me times for the day for a call back that were already over. This could possibly be adjusted.",negative
"Whenever I try to reach helpdesk via Chatbot's phone line, the voice is not clear. I could not hear anything.",negative
I am never able to ping the bot. it always keeps on asking me to retry.,negative
many times I am not able to find the Bot contact at all in the skype window.,negative
Bot keeps on creating multiple tickets for me for the same conversation.,negative
The person who attempted to help me through chatbot didn't succeed. ,negative
"Intially I used chatbot to reach to a service desk agent. But my issue not resolved, passed on to another group. Was informed it is part of an on-going issue.",negative
Pethatic response and worst experience by a chatbot live agent.,negative
I had contact chatbot twice but i could not hear the employe. He was so slow.,negative
The chat Support person was not able to provide a solution and the problem went unresolved!,negative
I had 2 chats via chatbot  and in both instances the ladies were extremely incompetent - my issue was not resolved,negative
The representative that I was chatting with did not understand the issue that was occurring and their solution was unsatisfactory,negative
Live chat person was not able to reset my password for me on the  multiple tries.,negative
very rude person on the other end of the chat during support,negative
The service desk agent kept me waiting on chat for a very long time.,negative
Much waiting time before I got connected to an agent. ,negative
"My ticket created via chatbot indicated a service desk agent  would reach out to me  THAT DAY between 8am and noon - I got a Skype message 5 days later. By then, I had already reached out to an expert directly for assistance. It's frustrating that employee concerns are not given priority.",negative
I keep getting the wrong information on what process to use. Even the person who connected me via chatbot was not efficient.,negative
"The person who contacted me after chatbot, also did not had any knowledge to solve my issue",negative
"waited a long time for a response and then online chat was unable to help.  I didn't hear back from the service desk agents for a few days, at which time the help was no longer needed.  ",negative
"I tried reaching chatbot via skype.  Received 5 automessages saying everyone was busy, then the 6th message said there was nobody available;",negative
no agents available in bot- waiting time very long,negative
Service agent  closed the ticket without resolving. I am suffering daily from a very bad network connection and contacted the helpdesk  via Skype chat.,negative
"I had an issue which needed to be addressed immediately. I tried the chatbot option from the skype. It connected me to an agent who in turn asked me to wait for 2 hours, which was unacceptable.",negative
"I try for 2 hours to talk to a human, after having a conversation with the bot, but did not suceed ",negative
Things are not working.,negative
"issue not resolved, passed on to another group. Was informed it is part of an on-going issue.",negative
My issue was never resolved .,negative
Useless Support,negative
please resolve issue before you send survey,negative
I did not get the right help for my problem. I reopend the ticket.,negative
Pethatic response and worst experience,negative
My issue was not resolved. Just told to wait more.,negative
I keep getting the wrong information on what process to use.  I will be creating a third ticket for this.,negative
I needed help faster,negative
Issue is NOT resolved.,negative
Question was not answered,negative
"would like to get resolution quickly, but I'm not sure when the next level will work on things/contact me/fix the issue...  the helpdesk process is not agile",negative
My problem has not been understood accurately,negative
Only comment is that user support is pretty slow and outdated,negative
Issue was not resolved.  Ticket was cancelled with no explanation,negative
nothing worked after my contact to helpdesk,negative
What can I tell you?  Nothing was resolved and I wasn't contacted to be helped out.  I could not contact anyone and the chat bot simply told me my issue was closed as  a result of no one being available.,negative
my issue is not resolved after 2 weeks and my ticket was closed,negative
Worthless IT support helpdesk. Chatbot is a garbage and Live agents are of no use!,negative
